Pressure_GPa,Tc_K
2.622073578595317755e+01,1.501240903929318335e+02
2.635451505016722251e+01,1.501241714417838580e+02
2.648829431438127102e+01,1.501242522714249503e+02
2.662207357859531953e+01,1.501243328830690587e+02
2.675585284280936449e+01,1.501244132779197287e+02
2.688963210702340945e+01,1.501244934571705301e+02
2.702341137123745796e+01,1.501245734220049144e+02
2.715719063545150291e+01,1.501246531735963856e+02
2.729096989966555142e+01,1.501247327131086422e+02
2.742474916387959638e+01,1.501248120416957477e+02
2.755852842809364489e+01,1.501248911605021590e+02
2.769230769230768985e+01,1.501249700706627550e+02
2.782608695652173836e+01,1.501250487733031491e+02
2.795986622073578332e+01,1.501251272695396324e+02
2.809364548494983183e+01,1.501252055604793441e+02
2.822742474916387678e+01,1.501252836472203285e+02
2.836120401337792529e+01,1.501253615308517055e+02
2.849498327759197025e+01,1.501254392124536707e+02
2.862876254180601876e+01,1.501255166930977509e+02
2.876254180602007082e+01,1.501255939738466338e+02
2.889632107023411223e+01,1.501256710557545944e+02
2.903010033444816074e+01,1.501257479398673240e+02
2.916387959866220569e+01,1.501258246272221299e+02
2.929765886287625420e+01,1.501259011188480486e+02
2.943143812709029916e+01,1.501259774157658455e+02
2.956521739130434767e+01,1.501260535189882717e+02
2.969899665551839618e+01,1.501261294295198638e+02
2.983277591973244114e+01,1.501262051483573998e+02
2.996655518394648610e+01,1.501262806764896141e+02
3.010033444816053461e+01,1.501263560148975955e+02
3.023411371237457956e+01,1.501264311645546741e+02
3.036789297658862807e+01,1.501265061264265057e+02
3.050167224080267303e+01,1.501265809014713568e+02
3.063545150501672154e+01,1.501266554906398483e+02
3.076923076923076650e+01,1.501267298948753535e+02
3.090301003344481501e+01,1.501268041151138846e+02
3.103678929765885997e+01,1.501268781522842630e+02
3.117056856187290848e+01,1.501269520073081196e+02
3.130434782608695343e+01,1.501270256811000365e+02
3.143812709030100194e+01,1.501270991745674905e+02
3.157190635451505045e+01,1.501271724886112224e+02
3.170568561872909541e+01,1.501272456241249813e+02
3.183946488294314747e+01,1.501273185819956666e+02
3.197324414715718888e+01,1.501273913631035839e+02
3.210702341137123739e+01,1.501274639683223313e+02
3.224080267558528590e+01,1.501275363985189131e+02
3.237458193979932730e+01,1.501276086545538533e+02
3.250836120401337581e+01,1.501276807372811675e+02
3.264214046822742432e+01,1.501277526475484763e+02
3.277591973244147283e+01,1.501278243861972328e+02
3.290969899665551424e+01,1.501278959540624101e+02
3.304347826086956275e+01,1.501279673519729272e+02
3.317725752508361126e+01,1.501280385807515074e+02
3.331103678929765977e+01,1.501281096412148486e+02
3.344481605351170117e+01,1.501281805341735947e+02
3.357859531772574968e+01,1.501282512604324495e+02
3.371237458193979819e+01,1.501283218207902621e+02
3.384615384615384670e+01,1.501283922160399698e+02
3.397993311036788810e+01,1.501284624469687401e+02
3.411371237458193661e+01,1.501285325143581417e+02
3.424749163879598512e+01,1.501286024189839168e+02
3.438127090301003363e+01,1.501286721616162936e+02
3.451505016722408214e+01,1.501287417430199298e+02
3.464882943143812355e+01,1.501288111639539125e+02
3.478260869565216495e+01,1.501288804251720137e+02
3.491638795986622057e+01,1.501289495274224635e+02
3.505016722408026908e+01,1.501290184714482621e+02
3.518394648829431048e+01,1.501290872579870666e+02
3.531772575250835899e+01,1.501291558877712760e+02
3.545150501672240750e+01,1.501292243615281450e+02
3.558528428093645601e+01,1.501292926799797556e+02
3.571906354515049742e+01,1.501293608438431022e+02
3.585284280936454593e+01,1.501294288538301487e+02
3.598662207357860154e+01,1.501294967106478566e+02
3.612040133779264295e+01,1.501295644149982422e+02
3.625418060200668435e+01,1.501296319675783764e+02
3.638795986622073286e+01,1.501296993690805266e+02
3.652173913043478137e+01,1.501297666201921288e+02
3.665551839464882988e+01,1.501298337215958725e+02
3.678929765886287129e+01,1.501299006739696722e+02
3.692307692307691980e+01,1.501299674779868383e+02
3.705685618729096831e+01,1.501300341343159914e+02
3.719063545150501682e+01,1.501301006436212333e+02
3.732441471571906533e+01,1.501301670065619760e+02
3.745819397993310673e+01,1.501302332237932831e+02
3.759197324414715524e+01,1.501302992959656422e+02
3.772575250836120375e+01,1.501303652237252209e+02
3.785953177257525226e+01,1.501304310077136677e+02
3.799331103678929367e+01,1.501304966485684247e+02
3.812709030100334218e+01,1.501305621469225287e+02
3.826086956521739069e+01,1.501306275034048383e+02
3.839464882943143920e+01,1.501306927186398639e+02
3.852842809364548060e+01,1.501307577932480797e+02
3.866220735785952911e+01,1.501308227278456968e+02
3.879598662207357762e+01,1.501308875230448905e+02
3.892976588628762613e+01,1.501309521794536579e+02
3.906354515050166754e+01,1.501310166976760456e+02
3.919732441471571605e+01,1.501310810783121497e+02
3.933110367892976456e+01,1.501311453219578880e+02
3.946488294314381307e+01,1.501312094292055122e+02
3.959866220735785447e+01,1.501312734006431526e+02
3.973244147157189587e+01,1.501313372368552166e+02
3.986622073578595149e+01,1.501314009384222459e+02
4.000000000000000000e+01,1.501314645059209170e+02
